datetime,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,severerisk,conditions,description,Weekend,Precip_last_7D,holidays
2024-01-01,43.6,38.5,40.5,36.8,36.3,85.2,0.547,100.0,29.17,rain,0.0,0.1,8.5,250.4,1016.9,85.8,14.8,31.5,2.7,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,0,0.547,1
2024-01-02,45.0,38.5,41.5,36.2,39.0,90.9,0.752,100.0,79.17,rain,0.0,0.0,13.2,250.8,1013.2,99.9,9.9,8.7,0.8,10,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,0,1.299,1
2024-01-03,53.8,44.2,48.2,44.4,39.9,74.3,0.348,100.0,50.0,rain,0.0,0.0,19.5,247.7,1008.8,86.3,12.3,27.7,2.3,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,0,1.647,1
2024-01-04,47.7,40.8,44.2,40.2,37.3,76.8,0.049,100.0,41.67,rain,0.0,0.0,12.2,250.1,1012.7,86.8,13.7,31.8,2.7,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,0,1.696,1
2024-01-05,42.4,39.7,41.1,40.5,37.5,87.6,0.223,100.0,58.33,rain,0.0,0.0,4.5,357.1,1006.6,100.0,11.4,9.8,0.9,10,"Rain, Overcast",Cloudy skies throughout the day with rain.,0,1.919,1
2024-01-06,40.4,37.4,38.7,35.8,33.7,82.4,0.062,100.0,25.0,rain,0.0,0.0,7.0,18.6,1008.9,98.6,10.5,45.6,4.0,10,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,1,1.981,1
2024-01-07,37.9,32.8,36.3,29.3,32.2,85.1,0.064,100.0,75.0,"rain,snow",0.5,0.0,12.5,28.1,1011.9,98.1,5.8,36.6,3.4,10,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,1,2.045,1
2024-01-08,32.1,26.2,27.8,17.8,23.4,83.1,0.029,100.0,37.5,"rain,snow",0.2,0.0,15.1,35.2,1018.5,97.7,11.8,31.6,2.8,10,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,0,1.527,0
2024-01-09,29.5,27.1,28.1,23.1,24.3,85.4,0.124,100.0,41.67,"rain,snow",1.1,0.3,6.5,28.4,1023.8,99.6,7.5,15.2,1.5,10,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,0,0.899,0
2024-01-10,33.1,27.9,30.1,26.2,27.0,88.4,0.034,100.0,33.33,"rain,snow",0.2,1.3,8.8,30.7,1025.4,90.6,11.4,20.6,1.8,10,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,0,0.585,0
2024-01-11,29.6,28.0,28.6,21.5,26.0,89.6,0.0,0.0,0.0,Rien,0.0,1.3,8.8,31.2,1027.5,45.4,13.7,20.2,1.7,10,Partially cloudy,Partly cloudy throughout the day.,0,0.536,0
2024-01-12,29.8,26.9,27.9,20.7,24.5,87.0,0.0,0.0,0.0,snow,0.0,3.2,8.7,31.9,1030.1,20.8,13.5,36.2,3.1,10,Partially cloudy,Partly cloudy throughout the day.,0,0.313,0
2024-01-13,30.0,26.7,28.1,26.7,25.2,88.7,0.0,0.0,0.0,Rien,0.0,0.5,5.8,326.6,1027.3,32.5,14.3,38.9,3.3,10,Partially cloudy,Partly cloudy throughout the day.,1,0.251,0
2024-01-14,35.9,25.9,29.9,28.3,27.3,90.1,0.003,100.0,12.5,"rain,snow",0.0,5.0,5.2,263.7,1016.7,95.5,14.9,42.8,3.8,10,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,1,0.19,0
2024-01-15,39.5,32.6,36.8,31.5,29.7,75.5,0.005,100.0,16.67,"rain,snow",0.0,3.1,11.2,271.1,1009.8,86.5,11.2,32.5,2.7,10,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,0,0.166,0
2024-01-16,37.3,31.1,34.1,31.8,27.6,77.4,0.022,100.0,20.83,"rain,snow",0.0,2.9,4.9,355.1,1011.0,87.8,14.8,70.1,6.0,10,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,0,0.064,0
