datetime,Heure début alarmes,Date fin alarmes,Heure fin alarmes,Durée,Type,Commune,Year,Alarme automatique,Alarme automatique réelle,Assistance à personne,DCH,Divers,Feu,Inondation,Officier de service,Sauvetage animaux/NAC,Sauvetage personne,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,severerisk,conditions,description,Intervention,Weekend,Precip_last_7D,holidays
2020-01-01,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,34.7,32.2,33.2,33.1,31.5,93.5,0.0,0,0.0,Rien,0.0,0.0,3.4,332.1,1034.1,33.9,0.0,47.4,4.1,0.0,Partially cloudy,Clearing in the afternoon.,0,0,0.0,1
2020-01-02,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,36.0,30.7,33.8,33.2,32.3,94.2,0.0,0,0.0,Rien,0.0,0.0,4.1,326.8,1032.4,24.0,0.0,69.2,6.0,0.0,Partially cloudy,Partly cloudy throughout the day.,0,0,0.0,1
2020-01-03,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,45.1,35.6,40.3,37.6,36.1,85.2,0.007,100,8.33,rain,0.0,0.0,6.3,321.1,1030.2,78.4,0.0,42.9,3.8,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,0,0,0.007,1
2020-01-04,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,47.4,36.2,42.2,40.2,37.0,82.1,0.003,100,12.5,rain,0.0,0.0,8.0,346.0,1033.1,65.3,0.0,67.9,5.9,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,0,1,0.01,1
2020-01-05,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,40.6,33.4,36.4,32.2,30.0,77.3,0.0,0,0.0,Rien,0.0,0.0,7.5,39.9,1034.9,14.5,0.0,74.0,6.4,0.0,Clear,Clear conditions throughout the day.,0,1,0.01,1
2020-01-06,18:37:00,2020-01-06,20:37:00,0 days 02:00:00,Feu,Chavannes,2020.0,0,0,0,0,0,1,0,0,0,0,40.7,31.7,35.6,33.8,31.7,85.7,0.0,0,0.0,Rien,0.0,0.0,5.4,343.0,1031.9,1.7,0.0,77.2,6.8,0.0,Clear,Clear conditions throughout the day.,1,0,0.01,0
2020-01-07,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,45.4,35.9,39.7,38.0,34.7,82.3,0.0,0,0.0,Rien,0.0,0.0,5.7,14.7,1031.2,59.9,0.0,65.2,5.6,0.0,Partially cloudy,Partly cloudy throughout the day.,0,0,0.01,0
2020-01-08,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,42.8,32.8,37.7,36.6,33.4,84.8,0.0,0,0.0,Rien,0.0,0.0,5.2,7.9,1032.5,63.4,0.0,66.6,5.8,0.0,Partially cloudy,Partly cloudy throughout the day.,0,0,0.01,0
2020-01-09,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,48.7,36.5,42.1,39.4,30.1,63.1,0.0,0,0.0,Rien,0.0,0.0,7.5,319.8,1025.4,78.7,0.0,75.2,6.4,0.0,Partially cloudy,Partly cloudy throughout the day.,0,0,0.01,0
2020-01-10,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,46.8,39.5,43.0,39.2,37.6,81.8,0.048,100,33.33,rain,0.0,0.0,12.8,267.2,1025.5,54.0,0.0,63.2,5.4,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,0,0,0.051000000000000004,0
2020-01-11,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,43.2,24.3,37.2,34.2,32.2,82.3,0.0,0,0.0,Rien,0.0,0.0,6.8,29.1,1032.3,12.2,0.0,63.1,5.4,0.0,Clear,Clear conditions throughout the day.,0,1,0.048,0
2020-01-12,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,43.8,32.7,37.1,35.3,31.1,79.5,0.0,0,0.0,Rien,0.0,0.0,4.8,2.1,1030.6,45.9,0.0,81.3,7.0,0.0,Partially cloudy,Becoming cloudy in the afternoon.,0,1,0.048,0
2020-01-13,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,40.6,18.0,34.2,31.7,27.4,76.4,0.024,100,4.17,"rain,snow",0.0,0.0,5.6,3.4,1025.6,64.8,0.0,57.5,4.9,0.0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,0,0,0.07200000000000001,0
2020-01-14,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,47.4,33.9,40.1,36.5,29.8,67.5,0.0,0,0.0,Rien,0.0,0.0,8.0,289.4,1021.0,84.8,0.0,77.2,6.7,0.0,Partially cloudy,Partly cloudy throughout the day.,0,0,0.07200000000000001,0
2020-01-15,,,,,Aucun,,,0,0,0,0,0,0,0,0,0,0,51.8,31.9,43.6,40.7,32.9,66.6,0.0,0,0.0,Rien,0.0,0.0,12.9,288.7,1023.3,15.3,0.0,71.7,6.2,0.0,Clear,Clear conditions throughout the day.,0,0,0.07200000000000001,0
