"Type;start_date;end_date"
"Vacances d'hiver;21.12.2019;05.01.2020"
"Vacances de sport;15.02.2020;23.02.2020"
"Vacances de Pâques;16.03.2020;10.05.2020"
"Vacances de l'ascension;21.05.2020;22.05.2020"
"Lundi de Pentecôte;30.05.2020;01.06.2020"
"Vacances d'été;04.07.2020;23.08.2020"
"Lundi du Jeûne fédéral;19.09.2020;21.09.2020"
"Vacances d'automne;10.10.2020;25.02.2020"
"Vacances d'hiver;19.12.2020;03.01.2021"
"Vacances de sport;20.02.2021;28.02.2021"
"Vacances de Pâques;02.04.2021;18.04.2021"
"Vacances de l'Ascension;13.05.2021;6.05.2021"
"Lundi de Pentecôte;22.05.2021;24.05.2021"
"Vacances d'été;03.07.2021;22.08.2021"
"Lundi du Jeûne fédéral;18.09.2021;20.09.2021"
"Vacances d'automne;16.10.2021;31.10.2021"
"Vacances d'hiver;24.12.2021;09.01.2022"
"Vacances de sport;19.02.2022;27.02.2022"
"Vacances de Pâques;15.04.2022;01.05.2022"
"Vacances de l'Ascension;26.05.2022;29.05.2022"
"Lundi de Pentecôte;04.06.2022;06.06.2022"
"Vacances d'été;02.07.2022;21.08.2022"
"Lundi du Jeûne fédéral;17.09.2022;19.09.2022"
"Vacances d'automne;15.10.2022;30.10.2022"
"Vacances d'hiver;24.12.2022;08.01.2023"
"Vacances de sport;11.02.2023;19.02.2023"
"Vacances de Pâques;07.04.2023;23.04.2023"
"Vacances de l'ascension;18.05.2023;21.05.2023"
"Lundi de Pentecôte;27.05.2023;29.05.2023"
"Vacances d'été;01.07.2023;20.08.2023"
"Lundi du Jeûne fédéral;16.09.2023;18.09.2023"
"Vacances d'automne;14.10.2023;29.10.2023"
"Vacances d'hiver;23.12.2023;07.01.2024"
"Vacances de sport;10.02.2024;18.02.2024"
"Vacances de Pâques;29.03.2024;14.04.2024"
"Vacances de l'ascension;09.05.2024;12.05.2024"
"Lundi de Pentecôte;18.05.2023;20.05.2023"
"Vacances d'été;29.06.2024;18.08.2024"
"Lundi du Jeûne fédéral;14.09.2023;16.09.2023"
"Vacances d'automne;12.10.2024;27.10.2024"
"Vacances d'hiver;21.12.2024;05.01.2025"
